common_name,species_complex,species,body_covering,coloration,markings,countershading,body_length_cm,posture,symmetry,body_regions,segmentation,skeleton_position,backbone,snout,eyes,eye_position,pinnae,vibrissae,antennae,mouth,dentition,cranial_appendages,limb_count,appendages,foot_posture,claw_type,wings,locomotion,tail,tail_form,reproduction,mammary_glands,metamorphosis,diet,habitat,unknown
Human,,Homo sapiens,hair,variable,none,no,170,bipedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,flat,two camera eyes,frontal,present,absent,none,jaws with teeth,heterodont teeth,none,4,pentadactyl limbs,plantigrade,nails,none,walk,absent,absent,live birth,present,none,omnivore,terrestrial
Rhesus monkey,,Macaca mulatta,hair,brown,none,yes,50,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,short,two camera eyes,frontal,present,absent,none,jaws with teeth,heterodont teeth,none,4,pentadactyl limbs,plantigrade,nails,none,walk,present,furry,live birth,present,none,omnivore,terrestrial
House mouse,,Mus musculus,hair,grey-brown,none,yes,9,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,pointed,two camera eyes,lateral,present,present,none,jaws with teeth,ever-growing incisors,none,4,pentadactyl limbs,plantigrade,claws,none,run,present,naked,live birth,present,none,herbivore,terrestrial
Brown rat,,Rattus norvegicus,hair,brown,none,yes,25,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,pointed,two camera eyes,lateral,present,present,none,jaws with teeth,ever-growing incisors,none,4,pentadactyl limbs,plantigrade,claws,none,run,present,naked,live birth,present,none,omnivore,terrestrial
Domestic cat,,Felis catus,hair,variable,none,no,46,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,short,two camera eyes,frontal,present,present,none,jaws with teeth,carnassials,none,4,pentadactyl limbs,digitigrade,retractable claws,none,run,present,furry,live birth,present,none,carnivore,terrestrial
Lion,,Panthera leo,hair,tawny,none,yes,200,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,short,two camera eyes,frontal,present,present,none,jaws with teeth,carnassials,none,4,pentadactyl limbs,digitigrade,retractable claws,none,run,present,tufted,live birth,present,none,carnivore,terrestrial
Tiger,,Panthera tigris,hair,orange,stripes,yes,250,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,short,two camera eyes,frontal,present,present,none,jaws with teeth,carnassials,none,4,pentadactyl limbs,digitigrade,retractable claws,none,run,present,furry,live birth,present,none,carnivore,terrestrial
Domestic dog,,Canis lupus familiaris,hair,variable,none,no,60,quadrupedal,bilateral,head-neck-trunk-tail,unsegmented,internal,yes,elongated,two camera eyes,frontal,present,present,none,jaws with teeth,carnassials,none,4,pentadactyl limbs,digitigrade,non-retractable claws,none,run,present,furry,live birth,present,none,carnivore,terrestrial
Yellow fever mosquito,,Aedes aegypti,chitin,black,stripes,no,0.5,hexapod,bilateral,head-thorax-abdomen,segmented,external,no,,compound eyes,lateral,absent,absent,one pair,piercing proboscis,none,none,6,jointed legs,,tarsal claws,one pair,fly,absent,absent,lays eggs,absent,complete,blood-nectar,aerial
Northern house mosquito,Culex pipiens complex,Culex pipiens,chitin,brown,none,no,0.5,hexapod,bilateral,head-thorax-abdomen,segmented,external,no,,compound eyes,lateral,absent,absent,one pair,piercing proboscis,none,none,6,jointed legs,,tarsal claws,one pair,fly,absent,absent,lays eggs,absent,complete,blood-nectar,aerial
Southern house mosquito,Culex pipiens complex,Culex quinquefasciatus,chitin,brown,none,no,0.5,hexapod,bilateral,head-thorax-abdomen,segmented,external,no,,compound eyes,lateral,absent,absent,one pair,piercing proboscis,none,none,6,jointed legs,,tarsal claws,one pair,fly,absent,absent,lays eggs,absent,complete,blood-nectar,aerial
Common fruit fly,,Drosophila melanogaster,chitin,tan,none,no,0.3,hexapod,bilateral,head-thorax-abdomen,segmented,external,no,,compound eyes,lateral,absent,absent,one pair,sponging mouthparts,none,none,6,jointed legs,,tarsal claws,one pair,fly,absent,absent,lays eggs,absent,complete,fruit-yeast,aerial
Unknown six-legged flyer,,Mysterium hexapodum,chitin,,,,,,bilateral,head-thorax-abdomen,segmented,external,no,,compound eyes,lateral,,,one pair,,,,6,jointed legs,,,one pair,fly,,,,,,,,yes
